OLD	NEW
ANONBY2010	Anonby2010
CHÁVEZ2012	Sparing2012
Chavez2012	Sparing2012
LOOS1998	Loos1998
HYDE1980	Hyde1980
ZARIQUIEY2011	Zariquiey2011
COSTA1992	Costa1992
COSTA1994	Costa1992
ZINGG1998	Zingg1998
FAUST2002	Faust2002
BARROS1987	Barros1987
CESARINO2008	Cesarino2008
COSTA2000	Costa2000
LANES2005	Lanes2005
COUTO2005	Couto2005
VALENZUELA2012	Valenzuela2012
SHELL1987	Shell1987
KENNEL1978	Kennell1978
KENNELL1978	Kennell1978
FERREIRA2005	Ferreira2005
LORIOT;DAY1993	Loriot1993
CABRAL2010	Cabral2010
FLECK2003	Fleck2003
EAKEN2008	Eakin2008
VALENZUELA2003	Valenzuela2003
FAUST2008	Faust2002
MONTAG2008	Montag2008
MONTAG1981	Montag1981c
CABRAL2012	Cabral2009
MELATTI1975	Melatti1975
SOUZA2013	Souza2013
MELATTI1975[2005]	Melatti2005
SOUZA2004	Souza2004
FAUST1998	Faust1998
FAUST2012	Faust2002
RIBEIROÂNDIDO2008	Ribeiro2008
DEPAULA2004	DePaula2004
MENDES1998	Mendes1996
MONTAG1980	Montag1980
ZINGG2008	Zingg1998
AMARANTERIBEIROÂNDIDO2008	Ribeiro2005
KENNELJR1978	Kennel1978
BOUTLE1964	Boutle1964
AGUIAR1994	Aguiar1994
ILV1991	Ilv1991